OBJECTID;Id. Falla;geo_shape;geo_point_2d
2530;276;"{""coordinates"": [[[-0.3807587848014411, 39.44929277674586], [-0.3807013973160375, 39.44928586737576], [-0.3807013815750677, 39.449285946298716], [-0.38041444553590203, 39.44925139815447], [-0.38035705812779314, 39.44924448861649], [-0.3803641876564585, 39.44920889506869], [-0.38042157503640806, 39.44921580460227], [-0.38042870449491234, 39.44918021194928], [-0.38071564028624943, 39.44921475914903], [-0.3807085266419882, 39.44925027470147], [-0.3807659141329813, 39.44925718316701], [-0.3807587848014411, 39.44929277674586]]], ""type"": ""Polygon""}";39.44923603843926, -0.3805644502405203
2531;309;"{""coordinates"": [[[-0.3778380541879687, 39.47557704392616], [-0.3780835537714017, 39.47563225504448], [-0.3780731914460079, 39.4756599295841], [-0.3778276917758081, 39.475604718441176], [-0.3778380541879687, 39.47557704392616]]], ""type"": ""Polygon""}";39.475618486750584, -0.3779556227984528
2535;109;"{""coordinates"": [[[-0.3286059581041933, 39.47685227991453], [-0.328722145955902, 39.47685315096208], [-0.32871933621353283, 39.47707825938208], [-0.3286031479871869, 39.477077388319], [-0.3286059581041933, 39.47685227991453]]], ""type"": ""Polygon""}";39.47696526970494, -0.3286626470649956
2539;34;"{""coordinates"": [[[-0.38201573213152573, 39.47199929058913], [-0.3820212077365468, 39.47204411562385], [-0.38184770158625075, 39.472056846906874], [-0.38184222605885476, 39.47201202276787], [-0.38201573213152573, 39.47199929058913]]], ""type"": ""Polygon""}";39.47202806895011, -0.38193171716639296
2541;95;"{""coordinates"": [[[-0.37721591029293006, 39.48815902730905], [-0.37743946304779374, 39.48810972854682], [-0.3774712748533254, 39.48819633891262], [-0.3772477218364727, 39.48824563772691], [-0.37721591029293006, 39.48815902730905]]], ""type"": ""Polygon""}";39.488177683132, -0.37734359251185245
2545;314;"{""coordinates"": [[[-0.3435197649424475, 39.43189563620251], [-0.34347328514074515, 39.43193623875171], [-0.3432563416108947, 39.43178688750825], [-0.34330282142954116, 39.431746285045826], [-0.3435197649424475, 39.43189563620251]]], ""type"": ""Polygon""}";39.431841261890966, -0.3433880532984487
2546;311;"{""coordinates"": [[[-0.3953421568610486, 39.47875395057333], [-0.3951373232460064, 39.47883903112712], [-0.3950934087116747, 39.478775536381235], [-0.39529824221887727, 39.47869045499956], [-0.3953421568610486, 39.47875395057333]]], ""type"": ""Polygon""}";39.478764743185295, -0.3952177829351985
2550;33;"{""coordinates"": [[[-0.3760877386370742, 39.49222140539515], [-0.37609791240468843, 39.49224724437067], [-0.3760312134787984, 39.4922630097633], [-0.3760210397681154, 39.492237169882635], [-0.3760877386370742, 39.49222140539515]]], ""type"": ""Polygon""}";39.492242207406626, -0.3760594759014971
2552;202;"{""coordinates"": [[[-0.3938424972890234, 39.4612200790506], [-0.393912550611576, 39.46114824326854], [-0.3941905701785516, 39.461311148031086], [-0.39412051696015116, 39.46138298398308], [-0.3938424972890234, 39.4612200790506]]], ""type"": ""Polygon""}";39.46126561360012, -0.3940165337785714
2553;83;"{""coordinates"": [[[-0.3641030186880864, 39.46620126036935], [-0.3641527542821302, 39.466085575122705], [-0.3643618404517362, 39.466140796161156], [-0.3643839590320236, 39.46607147519959], [-0.36458945530714154, 39.465987419661836], [-0.36463283227196147, 39.46605113150336], [-0.36442733585290515, 39.466135187112464], [-0.36443429982594755, 39.466132887449476], [-0.364427676534569, 39.46615818345785], [-0.3643779412972965, 39.46627386973461], [-0.3641030186880864, 39.46620126036935]]], ""type"": ""Polygon""}";39.46614072213995, -0.3643462368721541
2558;14;"{""coordinates"": [[[-0.36834759964364183, 39.4659682696839], [-0.36828088518459945, 39.46595260971446], [-0.3682889673693647, 39.46593192567589], [-0.36835568064968505, 39.465947585613826], [-0.36834759964364183, 39.4659682696839]]], ""type"": ""Polygon""}";39.46595009768604, -0.3683182831404443
2559;89;"{""coordinates"": [[[-0.38001501546463007, 39.46997755747311], [-0.3797608587299354, 39.469868573749714], [-0.3798058545509755, 39.46980553748417], [-0.38006001229860276, 39.46991452113103], [-0.38001501546463007, 39.46997755747311]]], ""type"": ""Polygon""}";39.469891547500694, -0.3799104354032862
