OBJECTID;Id. Falla;Nom / Nombre;Secció / Seccion;Fallera Major / Fallera Mayor;President / Presidente;Artiste / Artista;Lema;Anyo Fundació / Año Fundacion;Distintiu / Distintivo;Esbós / Lema;Falla Experimental;geo_shape;geo_point_2d
4798;286;Pere María Orts i Bosch, pl.;8C;Ainara Rodríguez Sisternas;Inmaculada López Navarro;JOSE PASCUAL RODA FERNANDO;QUI BON PEIX VOL MENJAR, EL COS S'HA DE BANYAR;1978;Brillants (2022);http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_286_bm.jpg;0;"{""coordinates"": [-0.41352278127992215, 39.4703536252716], ""type"": ""Point""}";39.4703536252716, -0.41352278127992215
4801;126;Pintor Salvador Abril-Pere III El Gran;5C;Roselvi Ibañez Blasco;Adrian Balaguer Campos;JOSERRA LISARDE;EXCESSOS;1925;Brillants (1992);http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_126_bm.jpg;0;"{""coordinates"": [-0.3697881186556139, 39.462404020462785], ""type"": ""Point""}";39.462404020462785, -0.3697881186556139
4804;366;Santiago Rusiñol-Comte de Lumiares;4B;Olga García Olivares;José Miguel Sánchez Rodríguez;Javier Rico Catalán;No és país per a vells;1986;Fulles (2015);http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_366_bm.jpg;0;"{""coordinates"": [-0.37065933733266543, 39.49745257459591], ""type"": ""Point""}";39.49745257459591, -0.37065933733266543
4808;42;La Creu, pl.-Els Àngels;5C;Ana María Romeu i Duval;Juan Rodenas Bernat;Carlos Carsí García;En un poc de sucre… ¡i sense!;1963;Brillants (2012);http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_042_bm.jpg;0;"{""coordinates"": [-0.3315859880032733, 39.46801715082672], ""type"": ""Point""}";39.46801715082672, -0.3315859880032733
4813;251;Carrera de Sant Lluís-Rafael Albiñana;6B;Laura Alabarta Espí;Antonio Miguel Muñoz Barba;Agustín Torralba Soto;FORMAS DE AMOR;1974;Brillants (2018);http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_251_bm.jpg;0;"{""coordinates"": [-0.371277675154022, 39.45246262037355], ""type"": ""Point""}";39.45246262037355, -0.371277675154022
4814;184;Indústria-Sants Just i Pastor;2A;Cristina Ballester Mifsut;Alexandro Simón Rivas;Pasky Roda;' quan per la mar s'arrasa fica't en casa';1974;Brillants (2018);http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_184_bm.jpg;0;"{""coordinates"": [-0.341797345121452, 39.46778267486452], ""type"": ""Point""}";39.46778267486452, -0.341797345121452
4817;370;Llorers-Arquitecte Lucini;7A;Paula Genovés Serrano;Javier Benlloch Soria;Isidro Martínez Aparicio;Al Sol d'Orient;1993;Fulles (2022);http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_370_bm.jpg;0;"{""coordinates"": [-0.3750743192894241, 39.49088229762195], ""type"": ""Point""}";39.49088229762195, -0.3750743192894241
4818;118;Acàcies-Picaio;4C;Andrea Sáez Pajarón;José Luis Ibañez Sanz;Xavier Herrero;Amors històrics;1964;Brillants (2008);http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_118_bm.jpg;0;"{""coordinates"": [-0.38827057385365543, 39.49099752242869], ""type"": ""Point""}";39.49099752242869, -0.38827057385365543
4819;147;Mare de Déu de Lepant, pl.;3C;Andrea Soriano Alabau;Pablo Bueno Villena;LORENZO FANDOS AYORO;JAQUE MATE;1932;Brillants (2013);http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_147_bm.jpg;0;"{""coordinates"": [-0.36117128122587977, 39.428005165021204], ""type"": ""Point""}";39.428005165021204, -0.36117128122587977
4821;130;Patraix, pl.;7A;María Isabel Gironés Menes;Rafael Barberá Domingo;Miguel March Azor;Quina por;1929;Brillants (1993);http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_130_bm.jpg;0;"{""coordinates"": [-0.39243996563591305, 39.46300851929425], ""type"": ""Point""}";39.46300851929425, -0.39243996563591305
4823;359;Enginyer Josep Sirera-Pius IX;6B;María Almero i Cobo;Juan José Pons i Boscá;Estudio Chuky;Pardals al cap;1985;Fulles (2014);http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_359_bm.jpg;0;"{""coordinates"": [-0.3918781223702056, 39.44663089770351], ""type"": ""Point""}";39.44663089770351, -0.3918781223702056
4824;283;Jacinto Benavente-Regina Na Germana;4A;NO HAY;Miguel A. Taulet Navarro;LORENZO FANDOS AYORO;PAYASAES;1983;Fulles (2011);http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_283_bm.jpg;0;"{""coordinates"": [-0.3633524959570204, 39.46503559236648], ""type"": ""Point""}";39.46503559236648, -0.3633524959570204
4829;317;Camí Nou de Picanya-Nicolau Primitiu;3B;Nerea Carrascosa Sancho;Juan José Gómez Sanz;Enrique Cardells Martinez;Hi havia una vegada;1982;Fulles (2011);http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_317_bm.jpg;0;"{""coordinates"": [-0.4031417034602587, 39.45634263283864], ""type"": ""Point""}";39.45634263283864, -0.4031417034602587
4830;157;Sant Joan Bosco-Duc de Mandas;7A;Estefanía Reyes Leal;Vicente Cobo Cortell;VICTOR CABALLERO;LAS MIL Y UNA;1965;Brillants (2009);http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_157_bm.jpg;0;"{""coordinates"": [-0.3710398884674534, 39.49481764948125], ""type"": ""Point""}";39.49481764948125, -0.3710398884674534
4835;170;Regne de València-Sant Valer;3C;Estefanía Marchante Ruiz;Jorge Fabuel Iranzo;JOTA DE JUANES;EL HILO ROJO;1930;Brillants (2004);http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_170_bm.jpg;0;"{""coordinates"": [-0.37172878277946253, 39.46444424722499], ""type"": ""Point""}";39.46444424722499, -0.37172878277946253
4839;96;Quart Extramurs-Velázquez;1A;Lidia Argüello Viúdez;Víctor Agües Torrent;Erik Martínez Moncho;Arts longa BYTE brevis;1964;Brillants (2010);http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_096_bm.jpg;0;"{""coordinates"": [-0.4015348180518823, 39.4728086186131], ""type"": ""Point""}";39.4728086186131, -0.4015348180518823
4841;3;Doctor Collado, pl.;1B;Elia Civera Tormo;David González García;Francisco Giner Núnez;Sobre ruedas;1869;Brillants (1984);http://mapas.valencia.es/WebsMunicipales/layar/img/fallasvalencia/2024_003_bm.jpg;0;"{""coordinates"": [-0.37781072398274007, 39.47434156217726], ""type"": ""Point""}";39.47434156217726, -0.37781072398274007
